[1.6099771251103774, 0.23873981833457947]
epoch=369, time=0.845837 s[0.6692293603515013, 0.04746262915432453]
epoch=370, time=1.034517 s[0.6511918284242517, 0.04757084883749485]
epoch=371, time=0.759111 s[0.6524822278257093, 0.04785017482936382]
epoch=372, time=0.841476 s[0.6592222887008441, 0.04624263383448124]
epoch=373, time=0.843162 s[0.6206082733276477, 0.046349622309207916]
epoch=374, time=0.842157 s[0.6357259687114669, 0.046707168221473694]
epoch=375, time=0.878223 s[0.6514246916155277, 0.04726148582994938]
epoch=376, time=0.844496 s[0.6364327465283844, 0.04736006818711758]
epoch=377, time=0.842599 s[0.7051894720119476, 0.04614436998963356]
epoch=378, time=0.841943 s[0.7670287213975483, 0.04900908097624779]
epoch=379, time=0.845642 s[0.6620119258579604, 0.04789718985557556]
epoch=380, time=1.032086 s[0.6820947540043295, 0.04608854837715626]
epoch=381, time=0.772831 s[0.6746404807783439, 0.04701940342783928]
epoch=382, time=0.847860 s[0.6614229830905682, 0.04588896222412586]
epoch=383, time=0.844370 s[0.6406102931482505, 0.047419145703315735]
epoch=384, time=0.843938 s[0.6574256315903806, 0.04892902262508869]
epoch=385, time=0.858561 s[0.6522668901439467, 0.04984915629029274]
epoch=386, time=0.878683 s[0.6452684644231221, 0.04750814661383629]
epoch=387, time=0.840070 s[0.6720244706309604, 0.04932359419763088]
epoch=388, time=0.844117 s[0.6452731831939437, 0.04753731191158295]
epoch=389, time=0.845306 s[0.6328165610532264, 0.048093318939208984]
epoch=390, time=1.034693 s[0.6533174008455723, 0.04740212857723236]
epoch=391, time=0.762267 s[0.6463509405162474, 0.0481552928686142]
epoch=392, time=0.839461 s[0.6419968686361923, 0.04781966656446457]
epoch=393, time=0.844406 s[0.6485317021809144, 0.04716581664979458]
epoch=394, time=0.840391 s[0.634846638251481, 0.04788411222398281]
epoch=395, time=0.880921 s[0.6436677915928322, 0.04733863286674023]
epoch=396, time=0.848320 s[0.7178426706711695, 0.04536445625126362]
